,flaw
0,CWE-114
1,CWE-114
2,CWE-114
3,CWE-114
4,CWE-114
5,CWE-114
6,CWE-114
7,CWE-114
8,CWE-114
9,CWE-114
10,CWE-114
11,CWE-114
12,CWE-114
13,CWE-114
14,CWE-114
15,CWE-114
16,CWE-114
17,CWE-114
18,CWE-114
19,CWE-114
20,CWE-114
21,CWE-114
22,CWE-114
23,CWE-114
24,CWE-114
25,CWE-114
26,CWE-114
27,CWE-114
28,CWE-114
29,CWE-114
30,CWE-114
31,CWE-114
32,CWE-114
33,CWE-114
34,CWE-114
35,CWE-114
36,CWE-114
37,CWE-114
38,CWE-114
39,CWE-114
40,CWE-114
41,CWE-114
42,CWE-114
43,CWE-114
44,CWE-114
45,CWE-114
46,CWE-114
47,CWE-114
48,CWE-114
49,CWE-114
50,CWE-114
51,CWE-114
52,CWE-114
53,CWE-114
54,CWE-114
55,CWE-114
56,CWE-114
57,CWE-114
58,CWE-114
59,CWE-114
60,CWE-114
61,CWE-114
62,CWE-114
63,CWE-114
64,CWE-114
65,CWE-114
66,CWE-114
67,CWE-114
68,CWE-114
69,CWE-114
70,CWE-114
71,CWE-114
72,CWE-114
73,CWE-114
74,CWE-114
75,CWE-114
76,CWE-114
77,CWE-114
78,CWE-114
79,CWE-114
80,CWE-114
81,CWE-114
82,CWE-114
83,CWE-114
84,CWE-114
85,CWE-114
86,CWE-114
87,CWE-114
88,CWE-114
89,CWE-114
90,CWE-114
91,CWE-114
92,CWE-114
93,CWE-114
94,CWE-114
95,CWE-114
96,CWE-114
97,CWE-114
98,CWE-114
99,CWE-114
100,CWE-114
101,CWE-114
102,CWE-114
103,CWE-114
104,CWE-114
105,CWE-114
106,CWE-114
107,CWE-114
108,CWE-114
109,CWE-114
110,CWE-114
111,CWE-114
112,CWE-114
113,CWE-114
114,CWE-114
115,CWE-114
116,CWE-114
117,CWE-114
118,CWE-114
119,CWE-114
120,CWE-114
121,CWE-114
122,CWE-114
123,CWE-114
124,CWE-114
125,CWE-114
126,CWE-114
127,CWE-114
128,CWE-114
129,CWE-114
130,CWE-114
131,CWE-114
132,CWE-114
133,CWE-114
134,CWE-114
135,CWE-114
136,CWE-114
137,CWE-114
138,CWE-114
139,CWE-114
140,CWE-114
141,CWE-114
142,CWE-114
143,CWE-114
144,CWE-114
145,CWE-114
146,CWE-114
147,CWE-114
148,CWE-114
149,CWE-114
150,CWE-114
151,CWE-114
152,CWE-114
153,CWE-114
154,CWE-114
155,CWE-114
156,CWE-114
157,CWE-114
158,CWE-114
159,CWE-114
160,CWE-114
161,CWE-114
162,CWE-114
163,CWE-114
164,CWE-114
165,CWE-114
166,CWE-114
167,CWE-114
168,CWE-114
169,CWE-114
170,CWE-114
171,CWE-114
172,CWE-114
173,CWE-114
174,CWE-114
175,CWE-114
176,CWE-114
177,CWE-114
178,CWE-114
179,CWE-114
180,CWE-114
181,CWE-114
182,CWE-114
183,CWE-114
184,CWE-114
185,CWE-114
186,CWE-114
187,CWE-114
188,CWE-114
189,CWE-114
190,CWE-114
191,CWE-114
192,CWE-114
193,CWE-114
194,CWE-114
195,CWE-114
196,CWE-114
197,CWE-114
198,CWE-114
199,CWE-114
200,CWE-114
201,CWE-114
202,CWE-114
203,CWE-114
204,CWE-114
205,CWE-114
206,CWE-114
207,CWE-114
208,CWE-114
209,CWE-114
210,CWE-114
211,CWE-114
212,CWE-114
213,CWE-114
214,CWE-114
215,CWE-114
216,CWE-114
217,CWE-114
218,CWE-114
219,CWE-114
220,CWE-114
221,CWE-114
222,CWE-114
223,CWE-114
224,CWE-114
225,CWE-114
226,CWE-114
227,CWE-114
228,CWE-114
229,CWE-114
230,CWE-114
231,CWE-114
232,CWE-114
233,CWE-114
234,CWE-114
235,CWE-114
236,CWE-114
237,CWE-114
238,CWE-114
239,CWE-114
240,CWE-114
241,CWE-114
242,CWE-114
243,CWE-114
244,CWE-114
245,CWE-114
246,CWE-114
247,CWE-114
248,CWE-114
249,CWE-114
250,CWE-114
251,CWE-114
252,CWE-114
253,CWE-114
254,CWE-114
255,CWE-114
256,CWE-114
257,CWE-114
258,CWE-114
259,CWE-114
260,CWE-114
261,CWE-114
262,CWE-114
263,CWE-114
264,CWE-114
265,CWE-114
266,CWE-114
267,CWE-114
268,CWE-114
269,CWE-114
270,CWE-114
271,CWE-114
272,CWE-114
273,CWE-114
274,CWE-114
275,CWE-114
276,CWE-114
277,CWE-114
278,CWE-114
279,CWE-114
280,CWE-114
281,CWE-114
282,CWE-114
283,CWE-114
284,CWE-114
285,CWE-114
286,CWE-114
287,CWE-114
288,CWE-114
289,CWE-114
290,CWE-114
291,CWE-114
292,CWE-114
293,CWE-114
294,CWE-114
295,CWE-114
296,CWE-114
297,CWE-114
298,CWE-114
299,CWE-114
300,CWE-114
301,CWE-114
302,CWE-114
303,CWE-114
304,CWE-114
305,CWE-114
306,CWE-114
307,CWE-114
308,CWE-114
309,CWE-114
310,CWE-114
311,CWE-114
312,CWE-114
313,CWE-114
314,CWE-114
315,CWE-114
316,CWE-114
317,CWE-114
318,CWE-114
319,CWE-114
320,CWE-114
321,CWE-114
322,CWE-114
323,CWE-114
324,CWE-114
325,CWE-114
326,CWE-114
327,CWE-114
328,CWE-114
329,CWE-114
330,CWE-114
331,CWE-114
332,CWE-114
333,CWE-114
334,CWE-114
335,CWE-114
336,CWE-114
337,CWE-114
338,CWE-114
339,CWE-114
340,CWE-114
341,CWE-114
342,CWE-114
343,CWE-114
344,CWE-114
345,CWE-114
