x,y,predict_label_neural,predict_label_1nn,predict_label_3nn,label,predict_label_NB,predict_label_svm
-87.992,-13.425999999999998,5,3,3,5,12,5
-68.518,44.977,5,5,5,5,81,5
-62.955,26.203000000000003,5,5,5,5,3,5
82.62899999999999,17.342,5,5,5,5,3,5
56.953,-51.501000000000005,5,5,5,5,3,5
-83.60600000000001,15.432,5,5,5,5,87,5
-67.607,26.166,5,5,0,5,12,5
-66.803,45.714,5,5,5,5,3,5
-56.461999999999996,0.55509,5,5,5,5,3,5
-71.122,46.46,5,5,5,5,12,5
77.12,20.552,5,5,5,5,12,5
-20.211,80.508,5,5,5,5,87,5
-66.923,45.536,5,5,5,5,3,5
-66.643,46.091,5,5,5,5,12,5
-84.759,-9.7453,5,5,5,5,12,5
-83.51100000000001,15.412,5,5,5,5,3,5
-83.787,15.511,5,5,5,5,12,5
-84.553,-10.107000000000001,5,57,57,5,3,5
-1.8218,-0.4223,5,5,5,5,6,5
-67.229,24.576999999999998,5,5,5,5,3,5
-67.73899999999999,26.491,5,5,5,5,12,5
-90.669,4.5139,5,5,5,5,2,1
-80.734,19.718,5,11,0,5,3,5
60.11,-52.665,5,5,5,5,81,5
-21.142,81.273,5,57,57,5,12,5
-53.086000000000006,-68.449,5,5,5,5,2,12
-84.262,17.666,5,5,5,5,12,5
2.8698,83.65,5,5,5,5,12,5
-64.444,25.511999999999997,5,57,57,5,3,5
-8.7323,92.696,5,5,5,5,12,5
79.873,21.61,5,5,5,5,12,5
-68.914,43.738,5,5,5,5,3,5
-85.90100000000001,-11.004000000000001,5,5,5,5,3,5
3.2273,-65.155,5,5,5,5,79,5
-10.720999999999998,89.195,5,5,5,5,12,5
-11.347000000000001,90.042,5,5,5,5,12,5
57.839,-58.254,5,5,5,5,12,5
-64.72800000000001,24.732,5,5,5,5,3,5
-65.137,24.180999999999997,5,5,5,5,12,5
-58.626000000000005,-1.435,5,5,5,5,3,5
-1.272,76.157,6,5,5,5,12,6
58.716,15.543,6,5,5,5,89,7
51.174,57.864,6,5,5,5,79,7
40.758,22.334,7,5,5,5,78,7
37.395,26.334,7,5,5,5,78,7
-76.23899999999999,36.900999999999996,3,3,3,5,2,3
15.795,86.215,3,5,5,5,2,3
3.2844,0.17619,5,5,5,5,46,5
6.6395,-7.5565,5,5,5,5,46,5
-0.2232,-10.804,5,5,5,5,46,5
17.465999999999998,-16.656,5,12,12,5,46,5
0.9894200000000001,-5.8324,12,5,5,5,46,5
17.526,-16.59,5,5,5,5,46,5
-0.82947,-11.43,5,5,5,5,5,5
4.0707,-9.9581,5,5,5,5,5,5
16.212,-15.633,5,5,5,5,46,5
16.016,-15.539000000000001,5,5,5,5,5,5
-0.9184700000000001,-11.388,5,5,5,5,46,5
4.2943,-9.7058,5,5,5,5,46,5
4.5287,-3.5907,5,5,5,5,5,5
0.29102,-1.7935,5,57,0,5,5,5
16.212,-14.34,5,5,5,5,5,5
-0.94329,-10.327,5,5,5,5,31,5
-3.4482,-4.105,5,5,5,5,97,5
3.07,0.20289000000000001,5,5,5,5,46,5
0.5030100000000001,-3.5703,5,5,5,5,5,5
17.558,-16.457,5,5,5,5,46,5
-0.8221799999999999,-10.216000000000001,5,5,5,5,46,5
18.434,-14.088,5,5,5,5,5,5
21.496,54.371,5,5,5,5,79,5
18.76,-15.5,5,5,5,5,55,5
0.47857,-5.7579,5,5,5,5,31,5
-0.59351,-10.219,5,5,5,5,46,5
-65.422,-29.958000000000002,5,5,5,5,79,12
-0.9072399999999999,-10.104,5,5,5,5,31,5
0.37848000000000004,-3.3681,5,5,5,5,5,5
15.284,0.41036999999999996,5,10,0,5,28,5
-26.641,20.42,5,5,5,5,28,5
-23.793000000000003,-6.1934,5,5,5,5,28,5
-26.503,20.317,5,5,5,5,28,5
-0.33538,-1.8434,5,5,5,5,86,5
25.884,52.84,5,5,5,5,79,5
11.735999999999999,1.1955,5,5,5,5,6,5
28.973000000000003,5.9075,5,5,5,5,55,5
11.932,16.268,5,5,5,5,28,5
-2.8454,19.047,5,5,5,5,28,5
26.886999999999997,-7.7859,5,5,5,5,29,5
31.233,-3.4987,5,5,5,5,55,5
-18.81,68.559,6,5,5,5,9,7
14.709000000000001,50.387,6,7,0,5,89,7
45.893,52.218999999999994,6,5,5,5,7,7
28.215,37.080999999999996,7,5,5,5,78,7
29.465999999999998,27.815,6,5,5,5,78,7
31.329,40.524,7,5,5,5,78,7
46.731,32.648,7,5,5,5,78,7
0.29315,-4.0388,5,5,5,5,46,5
4.0454,0.2894,5,5,5,5,46,5
16.308,-16.38,5,5,5,5,5,5
0.043583,-10.874,5,5,5,5,46,5
0.88266,-5.608,5,5,5,5,46,5
1.0948,-5.811,5,5,5,5,46,5
0.064326,-10.94,5,5,5,5,5,5
4.3317,0.43981000000000003,5,5,5,5,5,5
3.537,-9.7522,5,5,5,5,46,5
-0.10095,-10.905,5,5,5,5,46,5
3.6721,-9.8113,5,5,5,5,46,5
-0.59837,-10.254000000000001,5,5,5,5,31,5
4.9072,-3.5611,5,5,5,5,46,5
6.375,-7.7144,5,5,5,5,5,5
3.6618,0.005123600000000001,5,5,5,5,46,5
-0.8409,-10.139,5,5,5,5,31,5
8.8973,-7.4903,5,5,5,5,6,5
0.19738,-7.0107,5,5,5,5,31,5
0.91637,-6.7364,5,5,5,5,46,5
-0.24704,-1.7530000000000001,5,5,5,5,86,5
0.10968,-5.5041,5,5,5,5,46,5
6.5719,-6.6164,5,5,5,5,5,5
-47.981,-54.544,5,5,5,5,44,5
17.762999999999998,-13.005999999999998,5,5,5,5,5,5
0.27081,-5.4719,5,5,5,5,46,5
4.579,-9.6198,5,5,5,5,46,5
-64.325,-11.894,5,5,5,5,79,5
4.2743,-7.2641,5,5,5,5,5,12
0.15508,-3.6123,5,5,5,5,86,5
-12.372,-7.61,5,5,5,5,28,5
-23.805,-6.1079,5,5,5,5,28,5
11.984000000000002,16.355999999999998,5,5,5,5,28,5
11.790999999999999,16.153,5,5,5,5,28,5
2.885,0.15384,5,5,5,5,86,5
-38.531,55.525,5,5,5,5,79,5
-23.518,16.789,5,5,5,5,56,5
10.457,-15.522,5,5,5,5,29,5
-29.833000000000002,4.9452,5,5,5,5,28,5
17.128,3.0171,5,5,5,5,55,5
16.634,2.5379,5,5,5,5,55,5
32.135999999999996,-11.457,5,5,5,5,29,5
76.925,-10.477,6,5,5,5,11,7
0.57194,53.923,3,5,5,5,89,6
12.93,67.389,6,5,5,5,12,7
46.308,23.851999999999997,7,5,5,5,78,7
30.986,41.77,7,5,5,5,78,7
33.082,28.0,7,5,5,5,78,7
37.301,25.57,7,5,5,5,78,7
17.937,-16.235,5,5,5,5,31,5
-2.0086,0.83367,5,5,5,5,46,5
-1.9344,0.7670600000000001,5,5,5,5,46,5
6.6862,-7.5734,5,5,5,5,46,5
-2.2808,0.8094600000000001,5,5,5,5,46,5
16.732,-15.469000000000001,5,5,5,5,46,5
4.8973,-3.6717,5,5,5,5,5,5
-1.8445,0.6874399999999999,5,5,5,5,46,5
3.4983,-9.8206,5,5,0,5,46,5
3.5106,-9.8171,5,5,5,5,46,5
0.9908600000000001,-5.691,5,5,5,5,5,5
6.1928,-7.7513,5,5,5,5,31,5
-0.70176,-11.347000000000001,5,5,5,5,46,5
16.227,-14.597000000000001,5,12,12,5,46,5
-1.0133,-11.927999999999999,5,57,0,5,5,5
-0.71719,-1.367,5,5,5,5,30,5
-4.0798,-2.3198,5,12,0,5,46,5
4.8369,-9.7901,5,5,5,5,46,5
-2.7453,1.0478,5,5,5,5,5,5
1.1173,-3.0822,5,5,5,5,5,5
-3.1452,-0.37031,5,5,5,5,46,5
-1.5071,-1.7031,5,5,5,5,46,5
-65.316,-29.984,5,5,5,5,79,12
-0.56415,-5.9263,5,12,12,5,46,5
-1.2442,-1.5141,5,5,5,5,31,5
17.445,-15.075,5,5,5,5,46,5
7.8199,-64.002,12,5,5,5,79,12
4.6752,-9.5824,5,5,5,5,46,5
-1.3382,-1.6131,5,5,5,5,46,5
11.894,16.288,5,5,5,5,28,5
12.776,9.1614,5,5,5,5,28,5
16.833,2.516,5,5,5,5,28,5
-34.126,0.46458,5,5,5,5,28,5
0.23851,-5.3914,5,5,5,5,86,5
10.104,-62.22,5,5,5,5,79,5
-8.0252,-7.9624,5,5,5,5,6,5
-15.825999999999999,11.712,5,5,5,5,6,5
-5.8441,6.0853,5,5,5,5,28,5
-23.535999999999998,-6.4381,5,5,5,5,97,5
14.014000000000001,21.009,5,5,5,5,28,5
32.714,-11.083,5,5,5,5,29,5
-73.23100000000001,13.092,6,5,5,5,7,7
8.5127,53.607,6,5,5,5,89,7
64.79899999999999,5.8738,6,5,5,5,7,7
33.321,32.702,7,111,0,5,78,7
28.881999999999998,39.296,7,5,5,5,78,7
35.222,37.509,7,5,5,5,78,7
50.358999999999995,29.864,7,54,0,5,78,7
-55.153999999999996,28.048000000000002,5,5,5,5,3,5
2.6877,83.477,5,5,5,5,87,5
7.3128,85.494,5,5,5,5,87,5
-54.735,-1.2665,5,57,57,5,81,5
81.347,21.269000000000002,5,5,5,5,87,5
-57.088,0.42001000000000005,5,5,5,5,3,5
-66.62100000000001,46.278999999999996,5,5,5,5,81,5
-62.985,25.229,5,5,5,5,87,5
-71.197,45.961999999999996,5,5,5,5,81,5
-21.746,78.068,5,12,3,5,87,5
-63.293,27.541,5,5,5,5,3,5
-55.173,28.046,5,5,5,5,3,5
-6.7988,88.17399999999999,5,5,5,5,12,5
-66.445,24.198,5,12,12,5,3,5
7.5775,85.396,5,5,5,5,87,5
-57.687,-0.89651,5,5,5,5,81,5
-7.0687,88.02600000000001,5,5,5,5,3,5
57.053000000000004,-51.503,5,5,5,5,87,5
-67.142,24.513,5,5,5,5,3,5
0.86654,-6.7108,5,5,5,5,46,5
57.547,-51.501999999999995,5,5,5,5,81,5
-56.468,0.60674,5,5,0,5,3,5
0.99571,95.434,5,5,5,5,2,12
-85.45200000000001,-11.112,5,5,5,5,3,5
-65.898,28.529,5,5,5,5,87,5
-52.026,29.083000000000002,5,57,12,5,12,5
-56.55,22.068,12,5,5,5,2,12
-6.7351,88.428,5,5,5,5,12,5
-22.509,77.105,5,5,5,5,87,5
-84.78399999999999,18.887,5,5,5,5,3,5
-52.861000000000004,27.629,5,57,0,5,3,5
58.657,-53.916000000000004,5,109,0,5,81,5
5.3729,84.939,5,5,5,5,3,5
-81.445,20.347,5,5,5,5,12,5
34.225,-56.435,5,5,5,5,79,5
-23.122,76.337,12,5,5,5,12,5
80.92399999999999,17.121,5,5,5,5,3,5
-10.527000000000001,89.074,5,5,5,5,12,5
-69.615,48.105,5,5,5,5,3,5
-91.0,-11.300999999999998,5,12,12,5,12,5
-67.185,46.95399999999999,5,12,12,5,3,5
74.39399999999999,-9.2504,6,5,5,5,11,7
15.874,49.553000000000004,6,5,5,5,89,7
-45.396,49.958,6,5,5,5,7,7
42.351000000000006,28.302,7,5,5,5,78,7
41.754,23.538,7,5,5,5,78,7
-76.318,36.885999999999996,3,5,5,5,2,3
-82.23299999999999,-0.18341,3,5,5,5,2,3
6.1372,-7.2985,5,5,5,5,55,5
16.787,-15.452,5,57,57,5,46,5
-1.9149,0.61128,5,5,12,5,6,5
3.7512,-0.031061000000000002,5,5,5,5,46,5
0.67528,-4.1871,5,5,5,5,5,5
3.7554,-9.9055,5,5,5,5,46,5
3.9574,-0.14762,5,5,5,5,5,5
15.878,-15.327,5,5,5,5,5,5
0.65322,-4.1441,5,5,5,5,46,5
4.0236,0.26364,5,5,5,5,46,5
0.18269000000000002,-0.22454000000000002,5,5,5,5,6,5
